Trial,Coherence,Practice,Block,Target_Direction,Distractor_Direction,RT,Acc,Congruency
1,20,1,3,1,2,2.30953690351907,1,0
2,40,1,3,1,1,0.780740423185307,1,1
3,10,1,3,2,2,1.37738328764863,1,1
4,20,1,3,2,1,1.63871242925325,0,0
5,60,1,3,2,1,0.903647626347265,1,0
6,40,1,3,2,1,0.830986672786821,1,0
7,90,1,3,2,2,0.799312709567857,1,1
8,20,1,3,2,2,0.769296528688756,1,1
9,80,1,3,1,2,0.79512675503338,1,0
10,90,1,3,1,1,1.06678906975139,1,1
11,60,1,3,1,1,0.699308812300842,1,1
12,10,1,3,2,1,0.874886149254053,1,0
13,90,1,3,1,2,0.646212865892267,1,0
14,40,1,3,2,2,0.684816388156833,1,1
15,40,1,3,1,2,0.560369764128154,1,0
16,60,1,3,1,2,0.600663906823684,1,0
17,80,1,3,2,1,0.87399843820549,1,0
18,80,1,3,2,2,0.776199384231404,1,1
19,80,1,3,1,1,0.501293315607654,1,1
20,20,1,3,1,1,0.68780934564802,1,1
21,90,1,3,2,1,0.50683573592687,1,0
22,10,1,3,1,2,0.548334062266804,1,0
23,60,1,3,2,2,0.509555523800373,1,1
24,10,1,3,1,1,0.664277785716877,1,1
1,10,0,4,2,1,4.27445968709253,1,0
2,90,0,4,1,1,0.603902608715543,1,1
3,80,0,4,2,2,1.35527747826563,1,1
4,10,0,4,1,2,0.695485520205693,1,0
5,20,0,4,2,1,0.813543150696205,0,0
6,90,0,4,2,2,0.630990786569782,1,1
7,60,0,4,1,1,0.460079345490158,1,1
8,80,0,4,2,1,0.591991402915482,1,0
9,20,0,4,1,1,0.450370817834482,1,1
10,20,0,4,2,2,0.870564151196959,1,1
11,40,0,4,1,1,0.592092804055937,1,1
12,80,0,4,2,1,0.601940983815439,1,0
13,90,0,4,1,1,0.508563885605327,1,1
14,40,0,4,2,2,0.653291820211962,1,1
15,60,0,4,1,2,0.454822363966741,1,0
16,60,0,4,2,1,0.514099088761213,1,0
17,60,0,4,2,2,0.599286511266655,1,1
18,20,0,4,2,1,0.732749176160723,1,0
19,40,0,4,1,2,0.693701798371876,1,0
20,20,0,4,2,2,0.570516734435841,1,1
21,80,0,4,1,2,0.447640565075744,1,0
22,90,0,4,1,1,0.496860173240748,1,1
23,90,0,4,2,2,0.481089228673227,1,1
24,60,0,4,1,2,0.3995064182227,1,0
25,40,0,4,1,1,0.47720062125336,0,1
26,20,0,4,1,1,1.94079941627569,1,1
27,80,0,4,2,1,0.633805119277895,1,0
28,20,0,4,2,2,0.657781256451017,1,1
29,40,0,4,2,2,0.525529270647894,1,1
30,20,0,4,2,2,0.90650490117514,1,1
31,10,0,4,1,1,1.72015667017422,1,1
32,90,0,4,2,2,0.649127517165653,1,1
33,20,0,4,2,2,1.27693878258015,1,1
