Trial,Coherence,Practice,Block,Target_Direction,Distractor_Direction,RT,Acc,Congruency
1,20,1,3,1,2,1.63916024311038,1,0
2,20,1,3,2,2,1.94934762518096,1,1
3,90,1,3,1,1,0.918785587244201,1,1
4,10,1,3,1,1,2.23929671912629,0,1
5,40,1,3,1,2,1.22077791325864,1,0
6,40,1,3,2,2,0.977878039804637,1,1
7,60,1,3,1,1,1.09153311059345,1,1
8,10,1,3,2,2,4.96051650143636,1,1
9,10,1,3,2,1,1.90836368438613,1,0
10,80,1,3,2,2,1.6997820064571,0,1
11,80,1,3,1,2,1.1521613693476,1,0
12,90,1,3,1,2,1.08334635425126,1,0
13,90,1,3,2,2,1.11688293411862,1,1
14,10,1,3,1,2,3.14206459840352,0,0
15,80,1,3,1,1,0.863893867703155,1,1
16,40,1,3,1,1,1.87869368425163,1,1
17,60,1,3,1,2,0.959530640873709,1,0
18,20,1,3,1,1,1.09303030509909,1,1
19,40,1,3,2,1,0.988188077069935,1,0
20,60,1,3,2,2,1.33371307488414,0,1
21,90,1,3,2,1,3.27194739575498,1,0
22,80,1,3,2,1,1.16421542712487,1,0
23,60,1,3,2,1,1.08084850404703,1,0
24,20,1,3,2,1,1.57624812220456,1,0
1,60,0,4,1,2,1.11828883187263,1,0
2,80,0,4,1,2,0.976160361838993,1,0
3,60,0,4,2,1,0.760403048087028,1,0
4,90,0,4,2,1,0.842137455372722,1,0
5,80,0,4,2,2,1.47890990959422,1,1
6,90,0,4,1,2,0.825490052448004,1,0
7,90,0,4,1,2,0.639878708840115,1,0
8,20,0,4,2,1,1.08555876677565,1,0
9,90,0,4,2,2,1.96667055189027,1,1
10,10,0,4,2,1,1.39737902549678,1,0
11,80,0,4,1,2,0.804653103026794,1,0
12,90,0,4,1,1,0.668427888012957,1,1
13,90,0,4,2,1,0.775046252805623,1,0
14,60,0,4,1,1,0.671429494192125,1,1
15,10,0,4,1,2,2.95023497185321,0,0
16,60,0,4,2,1,1.37471397595073,1,0
17,20,0,4,1,2,2.95089389620989,0,0
18,10,0,4,1,2,4.11765769348131,0,0
19,90,0,4,2,2,2.26834676743601,1,1
20,20,0,4,2,2,1.61946865291975,1,1
21,80,0,4,2,2,2.43299666604435,1,1
22,80,0,4,1,2,0.674392849541618,1,0
23,40,0,4,1,2,1.10460803202295,1,0
24,20,0,4,1,1,1.60116383507557,0,1
25,60,0,4,1,2,0.828985310610733,1,0
