Trial,Coherence,Practice,Block,Target_Direction,Distractor_Direction,RT,Acc,Congruency
1,10,1,3,2,1,2.13299453588934,1,0
2,90,1,3,1,2,0.695404546952886,1,0
3,80,1,3,2,1,1.04003068735437,1,0
4,40,1,3,1,1,0.903735023495756,1,1
5,20,1,3,2,2,0.699314442182185,1,1
6,60,1,3,1,1,0.716294971011848,1,1
7,10,1,3,1,1,2.24886131293079,1,1
8,80,1,3,2,2,0.646511189842386,1,1
9,40,1,3,2,2,0.873448581720368,1,1
10,20,1,3,1,2,0.616792738384902,1,0
11,80,1,3,1,1,0.578476847718775,1,1
12,90,1,3,2,2,0.685155100329212,1,1
13,40,1,3,2,1,0.826559790182728,1,0
14,10,1,3,2,2,1.67918470655422,1,1
15,90,1,3,1,1,0.676227837010629,1,1
16,60,1,3,2,2,0.663194010914594,1,1
17,40,1,3,1,2,0.608490480929504,1,0
18,20,1,3,1,1,1.36859720825942,1,1
19,90,1,3,2,1,0.59865169058321,1,0
20,60,1,3,1,2,0.695998879897161,1,0
21,60,1,3,2,1,0.570067415470476,1,0
22,10,1,3,1,2,1.17890107225321,1,0
23,80,1,3,1,2,0.670249143503497,1,0
24,20,1,3,2,1,1.01399154293449,1,0
1,20,0,4,1,1,0.918307186773745,1,1
2,80,0,4,2,1,0.600148168249689,1,0
3,80,0,4,1,2,0.557802577535767,1,0
4,60,0,4,1,1,0.7780298169655,1,1
5,40,0,4,2,2,0.712599064512688,1,1
6,60,0,4,2,1,0.696759929185646,1,0
7,40,0,4,1,1,0.86446646800232,1,1
8,60,0,4,1,2,0.828482441015694,1,0
9,40,0,4,2,1,0.65067332473518,1,0
10,60,0,4,2,1,0.741638742279974,1,0
11,20,0,4,1,2,2.03094645085366,1,0
12,80,0,4,2,2,0.649343202556338,1,1
13,10,0,4,2,2,2.35751814934702,1,1
14,40,0,4,2,1,0.819584407186085,1,0
15,90,0,4,1,1,0.662696027025959,1,1
16,90,0,4,2,2,0.626275361994885,1,1
17,90,0,4,2,1,4.47207320796133,1,0
18,60,0,4,1,2,4.73185011118039,1,0
19,40,0,4,1,2,3.56675113146957,1,0
20,20,0,4,2,2,2.47323408779084,1,1
21,90,0,4,1,1,0.875639710822725,1,1
22,20,0,4,2,1,1.40035883708424,1,0
23,10,0,4,2,2,2.20324490631083,0,1
24,90,0,4,2,2,0.717710616510885,1,1
