Trial,Coherence,Practice,Block,Target_Direction,Distractor_Direction,RT,Acc,Congruency
1,80,1,3,1,2,8.17739068996161,0,0
2,40,1,3,1,1,3.74584481614875,0,1
3,10,1,3,1,1,7.66389588249149,1,1
4,20,1,3,2,1,8.32281229243381,0,0
5,10,1,3,2,2,5.90282035392011,1,1
6,10,1,3,1,2,5.58658649370773,0,0
7,20,1,3,2,2,3.6171402981854,0,1
8,80,1,3,1,1,1.49092714034487,0,1
9,80,1,3,2,1,5.10450180555927,0,0
10,40,1,3,1,2,3.62785740499385,0,0
11,60,1,3,2,1,5.43988853832707,1,0
12,60,1,3,1,2,1.59960154118016,1,0
13,90,1,3,2,1,1.00311636534752,1,0
14,10,1,3,2,1,4.3255281058955,1,0
15,40,1,3,2,1,2.33199683739804,1,0
16,60,1,3,2,2,3.45579621946672,1,1
17,90,1,3,1,1,1.14973240607651,1,1
18,60,1,3,1,1,1.8547512483201,0,1
19,20,1,3,1,2,4.86920575622935,1,0
20,40,1,3,2,2,2.39459298341535,1,1
21,90,1,3,2,2,1.15239300846588,1,1
22,80,1,3,2,2,1.21972576994449,1,1
23,90,1,3,1,2,1.95009882078739,1,0
24,20,1,3,1,1,2.07708529627416,1,1
1,60,0,4,2,1,1.15189285995439,1,0
2,40,0,4,2,1,3.36979305185378,1,0
3,10,0,4,1,2,12.0378290524241,0,0
4,10,0,4,2,1,1.95470155822113,0,0
5,10,0,4,2,2,7.28880363830831,1,1
6,40,0,4,2,1,2.13268838473596,1,0
7,60,0,4,1,2,0.999846996448468,1,0
8,10,0,4,1,1,1.72512473940151,0,1
9,80,0,4,1,2,0.876740099978633,1,0
10,80,0,4,2,1,0.999256272683851,1,0
11,90,0,4,1,1,1.04071663413197,1,1
12,90,0,4,2,2,0.713989037845749,1,1
13,40,0,4,2,1,1.08119798917323,0,0
14,10,0,4,2,1,1.00084188056644,1,0
15,90,0,4,1,2,0.693910565809347,1,0
16,10,0,4,1,1,2.72555271640886,0,1
17,60,0,4,2,2,1.31233407318359,0,1
18,20,0,4,1,2,10.3445853512385,0,0
19,20,0,4,1,1,1.58905584161403,1,1
20,40,0,4,2,1,1.36656012950698,1,0
21,80,0,4,1,1,0.939932743378449,1,1
22,60,0,4,1,1,0.876593591819983,1,1
23,60,0,4,1,1,0.743800558382645,1,1
24,60,0,4,2,1,0.977108643739484,1,0
25,10,0,4,2,1,6.13618798076641,1,0
26,60,0,4,2,2,0.857239721575752,1,1
27,10,0,4,1,2,2.82646976353135,0,0
28,80,0,4,1,2,0.786374886869453,1,0
29,10,0,4,2,1,1.27196350146551,1,0
30,10,0,4,1,2,0.861069141363259,1,0
31,40,0,4,1,1,0.845923952176236,1,1
32,10,0,4,1,2,1.35188910702709,0,0
33,40,0,4,1,1,0.720540405716747,1,1
34,40,0,4,2,2,0.769280345528387,1,1
35,40,0,4,2,1,1.14546057506232,0,0
36,20,0,4,2,1,1.12978781218408,1,0
37,40,0,4,1,1,0.791585669212509,1,1
38,80,0,4,1,2,0.972835730062798,0,0
39,10,0,4,2,2,3.27992618299322,1,1
40,20,0,4,2,2,3.21790993504692,1,1
41,40,0,4,2,1,1.15617768192897,1,0
42,80,0,4,1,1,0.769376694457605,1,1
43,90,0,4,2,1,0.636693000851665,1,0
44,60,0,4,2,2,1.09270789992297,1,1
45,80,0,4,1,2,0.762537001399323,1,0
46,90,0,4,1,2,0.900701398728415,1,0
47,90,0,4,1,1,1.21790091355797,1,1
48,90,0,4,1,1,0.665956378856208,1,1
49,20,0,4,2,2,1.13679205626249,1,1
50,90,0,4,1,2,0.943304234999232,1,0
51,80,0,4,1,2,1.22313334728824,1,0
52,80,0,4,2,2,0.824126355000772,1,1
53,60,0,4,1,2,0.756866486743093,1,0
54,20,0,4,1,1,4.32863905845443,1,1
55,80,0,4,2,2,0.774061707372312,1,1
56,10,0,4,1,1,1.35174873349024,1,1
57,10,0,4,1,1,1.82521037093829,0,1
58,40,0,4,1,1,0.694605938217137,1,1
59,90,0,4,1,1,0.637616796011571,1,1
60,40,0,4,1,1,0.664515113981906,1,1
61,90,0,4,1,2,1.4490276153665,1,0
62,20,0,4,2,2,2.69698579341639,1,1
63,20,0,4,1,1,0.775465082144365,1,1
64,60,0,4,1,1,0.670008808549028,1,1
65,60,0,4,2,2,1.02402517053997,1,1
66,20,0,4,1,2,1.55634916137205,1,0
67,60,0,4,2,2,0.647735962003935,1,1
68,10,0,4,2,2,3.04093314858619,1,1
69,20,0,4,1,2,1.24584138795035,1,0
70,20,0,4,1,1,1.35017286875518,1,1
71,90,0,4,2,1,0.991656974656507,1,0
72,80,0,4,2,2,0.701019097701646,1,1
73,20,0,4,2,1,3.21231339609949,1,0
74,90,0,4,2,1,1.41183764155721,1,0
75,40,0,4,1,1,0.710126419260632,1,1
76,80,0,4,2,2,0.717259850236587,1,1
77,10,0,4,2,1,1.0282381818397,0,0
78,40,0,4,1,2,0.822231131372973,0,0
79,60,0,4,2,1,5.91538541205227,1,0
80,90,0,4,1,2,0.778695839399006,1,0
81,80,0,4,2,2,0.916234509728383,1,1
82,40,0,4,1,2,0.621340318582952,1,0
83,80,0,4,2,1,0.838970949873328,1,0
84,20,0,4,2,2,1.04329135234002,0,1
85,20,0,4,2,1,0.677148374146782,1,0
86,80,0,4,2,1,0.677954529819544,1,0
87,20,0,4,2,1,0.861558103293646,1,0
88,40,0,4,2,1,0.652223224984482,1,0
89,10,0,4,1,2,6.36053705704398,0,0
90,20,0,4,2,1,2.1053786893026,1,0
91,80,0,4,1,1,0.744257404003292,1,1
92,20,0,4,1,2,2.43678011186421,0,0
93,40,0,4,1,1,0.887555720924865,1,1
94,40,0,4,2,2,0.711753886542283,1,1
95,90,0,4,2,1,0.720357811893336,1,0
96,10,0,4,2,1,2.48410873790272,1,0
97,40,0,4,2,2,0.706205341673922,1,1
98,10,0,4,1,1,2.94364993652562,0,1
99,90,0,4,1,2,0.985036682977807,1,0
100,90,0,4,2,2,0.66953644604655,1,1
101,60,0,4,1,1,0.680896961828694,1,1
102,90,0,4,2,2,0.587714173423592,1,1
103,10,0,4,2,2,1.7209341013222,1,1
104,90,0,4,2,2,0.611806463450193,1,1
105,20,0,4,2,1,0.904793522728141,1,0
106,90,0,4,2,2,0.546012759208679,1,1
107,90,0,4,1,1,0.661395140050445,1,1
108,20,0,4,2,1,1.54583449562779,1,0
109,80,0,4,2,1,0.56901706388453,1,0
110,80,0,4,1,2,0.748575063946191,1,0
111,60,0,4,2,2,0.583032047376037,1,1
112,40,0,4,1,2,0.931563736288808,1,0
113,80,0,4,2,2,0.550395734375343,1,1
114,80,0,4,2,1,0.649715626204852,1,0
115,10,0,4,2,2,5.84080771455774,1,1
116,20,0,4,1,2,1.98582226975122,0,0
117,20,0,4,1,2,2.85734400938964,0,0
118,90,0,4,1,2,0.711130685580429,1,0
119,20,0,4,2,1,0.644722080149222,1,0
120,80,0,4,1,1,0.581329521723092,1,1
121,60,0,4,1,2,1.50766046339413,1,0
122,10,0,4,2,2,3.07025354204234,1,1
123,80,0,4,1,1,0.685668941354379,1,1
124,90,0,4,2,1,0.591545036644675,1,0
125,60,0,4,2,1,1.65142067795387,1,0
126,10,0,4,2,2,1.18835967534687,1,1
127,40,0,4,2,1,0.605551359592937,1,0
128,90,0,4,2,1,0.528874914918561,1,0
129,80,0,4,2,2,0.504310623218771,1,1
130,60,0,4,1,2,1.09083829721203,1,0
131,60,0,4,2,2,0.624881052353885,1,1
132,80,0,4,1,2,0.664518722565845,1,0
133,60,0,4,2,1,0.764367270690855,1,0
134,20,0,4,1,1,0.634737514075823,1,1
135,40,0,4,1,2,0.793468984484207,1,0
136,10,0,4,1,2,0.542943666165229,0,0
137,60,0,4,2,1,0.58409982471494,1,0
138,40,0,4,1,2,0.597547179379035,0,0
139,40,0,4,2,2,0.545191808429081,1,1
140,90,0,4,2,2,0.483783966163173,1,1
141,90,0,4,1,1,0.612401156628039,1,1
142,90,0,4,2,2,0.535104037029669,1,1
143,60,0,4,2,1,0.661944726016372,1,0
144,60,0,4,1,1,3.10928280651569,1,1
145,20,0,4,1,2,1.79688558331691,1,0
146,80,0,4,2,2,0.657422098971438,1,1
147,20,0,4,2,1,1.04231739800889,1,0
148,80,0,4,2,1,1.20587317226455,1,0
149,90,0,4,2,1,0.603582160256337,1,0
150,40,0,4,1,1,0.922009673144203,1,1
151,60,0,4,1,1,0.579389190941583,1,1
152,60,0,4,2,2,0.63299962435849,1,1
153,90,0,4,1,2,0.961340975307394,1,0
154,10,0,4,1,1,1.60033660789486,0,1
155,80,0,4,1,2,0.668686626653653,1,0
156,10,0,4,1,1,0.71265819540713,1,1
157,90,0,4,1,1,0.635661670123227,1,1
158,20,0,4,1,2,2.45346255396726,1,0
159,60,0,4,1,1,0.631517582572997,1,1
160,60,0,4,1,2,0.609546773834154,1,0
161,60,0,4,1,1,0.708016846270766,1,1
162,10,0,4,1,1,1.41609756433172,1,1
163,60,0,4,2,1,0.662967757030856,1,0
164,40,0,4,1,2,1.16028460109374,1,0
165,80,0,4,2,1,0.951061227766331,1,0
166,90,0,4,1,1,0.842736858758144,1,1
167,40,0,4,2,1,0.972316816973034,1,0
168,90,0,4,2,1,0.633600812929217,1,0
169,20,0,4,1,2,0.971565511717927,1,0
170,60,0,4,1,1,0.624470396549441,1,1
171,60,0,4,2,2,0.58986560581252,1,1
172,80,0,4,1,1,0.552382976631634,1,1
173,20,0,4,1,1,0.953220599039923,1,1
174,10,0,4,1,1,0.968668186862487,1,1
175,80,0,4,2,1,0.826297634514049,1,0
176,60,0,4,2,1,0.68427097942913,1,0
177,80,0,4,1,1,0.917820478440262,1,1
178,80,0,4,1,1,0.584433257055935,1,1
179,60,0,4,1,2,0.71426004183013,1,0
180,40,0,4,2,2,0.977744474599604,1,1
181,40,0,4,1,2,1.92874652176397,1,0
182,40,0,4,2,2,0.950548449298367,1,1
183,10,0,4,1,2,5.08029512368375,0,0
184,80,0,4,1,2,0.634864535881206,1,0
185,10,0,4,1,2,8.9130759240943,1,0
186,60,0,4,2,1,1.2315297795576,1,0
187,20,0,4,1,1,0.792201292118989,1,1
188,40,0,4,2,2,0.615666195226368,1,1
189,20,0,4,1,2,0.824179401039146,1,0
190,80,0,4,2,1,0.574940539721865,1,0
191,40,0,4,1,2,0.666651751263998,1,0
192,90,0,4,2,1,0.546122820756864,1,0
193,40,0,4,2,2,0.835573837393895,1,1
194,10,0,4,1,1,5.61630888242507,1,1
195,10,0,4,1,1,2.39297453756444,1,1
196,20,0,4,2,2,2.46862109494396,1,1
197,90,0,4,2,2,0.689791016571689,1,1
198,90,0,4,1,1,0.729117988492362,1,1
199,90,0,4,2,2,0.504175301699433,1,1
200,20,0,4,2,2,2.61987343279179,1,1
201,10,0,4,2,1,6.12328624265501,1,0
202,80,0,4,1,1,0.628860227996483,1,1
203,80,0,4,2,1,0.752320764760952,1,0
204,10,0,4,2,2,7.66920914832735,1,1
205,60,0,4,2,2,0.646953983814456,1,1
206,80,0,4,1,1,0.682086709013674,1,1
207,80,0,4,1,1,0.639206734136678,1,1
208,60,0,4,2,1,0.768189473310485,1,0
209,20,0,4,2,1,2.76986096519977,1,0
210,90,0,4,1,1,0.622227306303103,1,1
211,40,0,4,2,1,6.33780123031465,1,0
212,60,0,4,1,2,0.674959412543103,1,0
213,60,0,4,2,2,0.680793395731598,1,1
214,20,0,4,2,2,3.10404459905112,1,1
215,60,0,4,1,1,1.21514612738974,1,1
216,40,0,4,1,2,2.54579011007445,1,0
217,20,0,4,1,1,1.07917249604361,1,1
218,80,0,4,2,2,0.682389107591007,1,1
219,40,0,4,1,1,0.633622103545349,1,1
220,40,0,4,1,1,0.764614097191952,1,1
221,40,0,4,2,2,0.894554912985768,1,1
222,80,0,4,2,1,0.520246812142432,1,0
223,60,0,4,2,1,0.815103474073112,1,0
224,10,0,4,2,2,5.80785059917253,0,1
225,40,0,4,2,1,1.77359223173698,1,0
226,40,0,4,2,2,0.865818026068155,1,1
227,10,0,4,1,2,3.73159094492439,1,0
228,10,0,4,2,2,2.01263614703203,0,1
229,90,0,4,1,1,0.943915527546778,1,1
230,60,0,4,1,2,3.60246891481802,1,0
231,40,0,4,1,2,0.943974347319454,1,0
232,90,0,4,1,2,0.778940500749741,1,0
233,40,0,4,1,1,0.955775109294336,1,1
234,10,0,4,1,2,4.75763222633395,1,0
235,10,0,4,2,1,1.75559482484823,1,0
236,10,0,4,1,2,1.34431470814161,0,0
237,20,0,4,2,2,0.70719300856581,1,1
238,90,0,4,2,2,0.547830759256613,1,1
239,40,0,4,2,1,2.48976987035712,1,0
240,60,0,4,1,2,1.01565724605462,0,0
241,90,0,4,2,1,0.832302303344477,1,0
242,60,0,4,1,2,0.768919487949461,1,0
