Trial,Coherence,Practice,Block,Target_Direction,Distractor_Direction,RT,Acc,Congruency
1,80,1,3,2,1,0.783168072448689,1,0
2,40,1,3,1,1,0.627191941032947,1,1
3,40,1,3,2,1,0.59183977621035,1,0
4,10,1,3,2,1,0.853252448240369,0,0
5,20,1,3,1,1,0.773345159849214,1,1
6,90,1,3,2,1,0.610109289420279,1,0
7,90,1,3,1,2,0.542891929557641,1,0
8,80,1,3,1,1,0.65833253343169,1,1
9,60,1,3,2,1,0.525409086546006,1,0
10,60,1,3,1,1,0.532158572503931,1,1
11,90,1,3,2,2,0.520586581715861,1,1
12,10,1,3,2,2,1.0145873193095,0,1
13,60,1,3,1,2,0.601322399820447,1,0
14,60,1,3,2,2,0.495887663495637,1,1
15,90,1,3,1,1,0.450978899195775,1,1
16,80,1,3,1,2,0.589776029942527,1,0
17,20,1,3,1,2,1.1929842730915,1,0
18,10,1,3,1,1,0.496380234514277,1,1
19,40,1,3,1,2,0.63606543652611,1,0
20,80,1,3,2,2,0.437161650621761,1,1
21,10,1,3,1,2,0.725963797293161,0,0
22,40,1,3,2,2,0.590929692614054,1,1
23,20,1,3,2,2,0.81452950987557,0,1
24,20,1,3,2,1,0.772294341676115,0,0
1,10,0,4,1,2,0.957507179267736,1,0
2,60,0,4,1,1,0.542878577815713,1,1
3,20,0,4,2,2,0.691352112859022,0,1
4,80,0,4,1,1,0.539820668063385,1,1
5,60,0,4,1,2,0.60147540356536,1,0
6,10,0,4,1,1,0.791581474133295,1,1
7,20,0,4,2,1,0.814392023019877,0,0
8,80,0,4,2,2,0.556870120750318,1,1
9,90,0,4,2,1,0.609036458915966,1,0
10,10,0,4,2,2,0.866135796597405,1,1
11,80,0,4,1,2,0.533673453922461,1,0
12,90,0,4,2,2,0.525569307448791,1,1
13,60,0,4,1,1,0.53455755575078,1,1
14,10,0,4,1,1,0.717015243358901,0,1
15,10,0,4,1,1,1.00585528010868,1,1
16,40,0,4,1,2,0.605952567395661,1,0
17,90,0,4,1,2,0.493546778369023,1,0
18,40,0,4,1,2,0.684184392607563,1,0
19,40,0,4,2,1,1.20144061686494,0,0
20,10,0,4,2,2,1.2999728634868,1,1
21,80,0,4,1,1,0.706207549579972,1,1
22,80,0,4,2,2,0.638698255685199,1,1
23,20,0,4,2,2,0.891017308909568,1,1
24,90,0,4,1,1,0.576054047851244,1,1
25,60,0,4,2,2,0.567187047799962,1,1
26,90,0,4,1,2,0.525797730492513,1,0
27,40,0,4,2,1,0.60331938737886,1,0
28,90,0,4,1,2,0.436239297857128,1,0
29,80,0,4,2,1,0.465608438878235,1,0
30,40,0,4,2,2,0.75225337708855,1,1
31,80,0,4,2,2,0.628780076602879,1,1
32,10,0,4,1,2,0.875226167682058,1,0
33,20,0,4,2,2,1.07469361360927,0,1
34,90,0,4,2,1,0.574487202896648,1,0
35,60,0,4,2,2,0.665193163619506,1,1
36,90,0,4,2,2,0.505485400772386,1,1
37,10,0,4,2,1,0.842733440772804,0,0
38,90,0,4,1,1,0.523341731699247,1,1
39,20,0,4,1,1,1.09508894064402,1,1
40,90,0,4,2,1,0.503082448088776,1,0
41,40,0,4,1,2,0.609480314119651,1,0
42,40,0,4,1,1,0.753584581841437,0,1
43,10,0,4,1,2,1.08089892587043,1,0
44,90,0,4,2,2,0.576906033327418,1,1
45,20,0,4,2,1,1.26779372208318,1,0
46,90,0,4,2,1,0.569987305019367,1,0
47,10,0,4,2,1,0.520379088429763,0,0
48,10,0,4,2,2,0.768248763881274,0,1
49,80,0,4,1,1,0.475369644778652,1,1
50,60,0,4,1,1,0.521064357561045,1,1
51,90,0,4,1,1,0.422524893781542,1,1
52,60,0,4,2,1,0.514113152043137,1,0
53,90,0,4,2,2,0.433824436863233,1,1
54,80,0,4,1,2,0.481126049825775,1,0
55,90,0,4,1,2,0.451958267506939,1,0
56,40,0,4,1,2,0.692749354605667,1,0
57,90,0,4,1,1,0.537839558252131,1,1
58,20,0,4,1,1,0.877338990622775,1,1
59,20,0,4,2,2,0.634641130437899,0,1
60,80,0,4,2,1,0.573168628169924,1,0
61,10,0,4,1,1,0.734321987720705,1,1
62,20,0,4,2,1,0.501315327005727,0,0
63,10,0,4,2,2,1.08729585367075,1,1
64,20,0,4,2,1,0.997878877327707,0,0
65,60,0,4,1,2,0.967227247368896,1,0
66,60,0,4,1,1,0.639932389665887,1,1
67,20,0,4,1,2,1.27598086587136,1,0
68,80,0,4,1,1,0.528695058484232,1,1
69,80,0,4,2,2,0.551764703335152,1,1
70,20,0,4,1,1,1.34225855179079,1,1
71,80,0,4,1,2,0.526437170672125,1,0
72,60,0,4,2,2,0.555629130469697,1,1
73,20,0,4,2,2,0.832902950157631,0,1
74,10,0,4,2,2,0.685301969490183,0,1
75,40,0,4,2,2,0.667707982248658,1,1
76,80,0,4,1,2,0.550523352196592,1,0
77,90,0,4,1,2,0.502460329087967,1,0
78,10,0,4,2,2,0.886619533814951,0,1
79,80,0,4,1,2,0.541385347870687,1,0
80,90,0,4,1,2,0.584004829722062,1,0
81,60,0,4,1,1,0.47976056357345,1,1
82,20,0,4,1,1,0.433998370365771,1,1
83,90,0,4,1,1,0.45057112978111,1,1
84,20,0,4,1,1,0.982837237935996,1,1
85,90,0,4,1,1,0.552400534935714,1,1
86,40,0,4,2,1,0.846476619656528,0,0
87,60,0,4,1,2,0.554782557861699,1,0
88,90,0,4,1,2,0.440838431653901,1,0
89,20,0,4,1,1,0.917840597522854,1,1
90,90,0,4,1,1,0.54951439353863,1,1
91,10,0,4,1,2,0.878102205058212,1,0
92,40,0,4,2,2,1.35131283708643,1,1
93,40,0,4,1,2,0.646940610730326,1,0
94,20,0,4,2,2,1.49160644549931,1,1
95,40,0,4,2,2,0.778491354205812,1,1
96,80,0,4,2,1,0.628604338810874,1,0
97,20,0,4,1,2,0.759357586351484,1,0
98,20,0,4,1,2,0.672638744445521,1,0
99,40,0,4,2,1,1.18099837830471,1,0
100,90,0,4,2,2,0.604117965887326,1,1
101,20,0,4,2,1,1.50777468322087,1,0
102,10,0,4,2,1,0.740454045830347,1,0
103,60,0,4,1,2,0.727246286230979,1,0
104,20,0,4,2,2,0.691109616357494,1,1
105,90,0,4,1,2,0.566295367955945,1,0
106,80,0,4,2,1,0.537062992074766,1,0
107,40,0,4,2,1,0.768677463053564,1,0
108,20,0,4,2,1,0.834703991882179,1,0
109,60,0,4,1,2,0.578987100773929,1,0
110,20,0,4,1,2,0.594171279031912,1,0
111,40,0,4,1,1,0.634411624820359,1,1
112,60,0,4,1,1,0.655068212966853,1,1
113,90,0,4,2,1,0.53842234374315,1,0
114,80,0,4,1,2,0.531137344677745,1,0
115,10,0,4,2,2,0.62553560332185,1,1
116,20,0,4,2,1,0.924577092596792,1,0
117,20,0,4,1,2,0.654752101455983,0,0
118,40,0,4,1,1,0.697292194571673,1,1
119,90,0,4,2,1,0.571280980551933,1,0
120,90,0,4,1,1,0.570569368794622,1,1
121,60,0,4,1,2,0.725618456293205,1,0
122,10,0,4,1,2,1.13102353009958,0,0
123,80,0,4,1,1,0.880606558808608,0,1
124,40,0,4,1,2,1.04337078797653,0,0
125,40,0,4,1,1,0.624314099367325,1,1
126,60,0,4,1,2,0.554726985746925,1,0
127,20,0,4,1,2,0.652489161633298,1,0
128,90,0,4,2,1,0.535298036139125,1,0
129,10,0,4,1,2,1.11841082515934,0,0
130,90,0,4,2,1,0.594015027566002,1,0
131,10,0,4,1,2,0.823041064906079,1,0
132,40,0,4,2,2,0.702928794799618,1,1
133,60,0,4,2,2,0.675347343761132,1,1
134,40,0,4,1,2,0.688891783771169,1,0
135,90,0,4,2,2,0.573679242083017,1,1
136,80,0,4,1,2,0.551448591824283,1,0
137,90,0,4,1,2,0.555727644673311,1,0
138,10,0,4,1,2,1.36773151018303,0,0
139,10,0,4,2,2,0.679028094230034,1,1
140,20,0,4,2,1,0.794635775306801,0,0
141,10,0,4,1,1,1.28635661275689,0,1
142,40,0,4,2,2,0.585092816257657,1,1
143,20,0,4,1,1,0.613799422194347,0,1
144,20,0,4,1,1,0.826197488862135,1,1
145,90,0,4,2,2,0.567058582391496,1,1
146,20,0,4,1,1,0.85482975807372,0,1
147,60,0,4,2,2,0.583263266759786,1,1
148,80,0,4,1,2,0.648445027269986,1,0
149,40,0,4,2,1,0.658755819735688,1,0
150,60,0,4,2,1,0.543798043717175,1,0
151,80,0,4,1,2,0.551007984341595,1,0
152,10,0,4,2,2,0.713987645669363,1,1
153,10,0,4,2,1,0.750456304800764,1,0
154,90,0,4,2,1,0.575213609827529,1,0
155,40,0,4,2,1,0.631052037872792,1,0
156,60,0,4,2,1,0.616550241883033,1,0
157,90,0,4,2,1,0.56676051377508,1,0
158,10,0,4,1,1,0.941125674533509,1,1
159,80,0,4,2,2,0.542179956942391,1,1
160,90,0,4,2,2,0.548519869196184,1,1
161,80,0,4,1,1,0.597901827889473,1,1
162,20,0,4,2,2,0.902836487351578,1,1
