Trial,Coherence,Practice,Block,Target_Direction,Distractor_Direction,RT,Acc,Congruency
1,40,1,3,1,1,5.12473341623627,1,1
2,90,1,3,2,1,1.81449234151296,1,0
3,80,1,3,1,1,0.835826620776061,1,1
4,60,1,3,2,1,0.781488639833697,1,0
5,20,1,3,2,2,1.64037768830167,0,1
6,10,1,3,2,2,1.58301824425143,1,1
7,20,1,3,1,2,1.43906373255595,1,0
8,60,1,3,1,2,1.75691169158017,1,0
9,90,1,3,2,2,0.878404964827496,1,1
10,40,1,3,1,2,1.33783551664237,1,0
11,20,1,3,1,1,1.45953808747072,1,1
12,20,1,3,2,1,1.67257054230504,1,0
13,90,1,3,1,1,0.779072696266667,1,1
14,40,1,3,2,2,1.17132450001372,1,1
15,60,1,3,2,2,0.669885037896165,1,1
16,10,1,3,1,2,3.02257851726245,1,0
17,80,1,3,2,2,1.13655909011868,1,1
18,80,1,3,1,2,0.845734695834835,1,0
19,40,1,3,2,1,1.36254345631096,1,0
20,10,1,3,1,1,1.08295401154828,1,1
21,80,1,3,2,1,0.656012578059745,1,0
22,10,1,3,2,1,2.19429779580969,0,0
23,90,1,3,1,2,1.13154677403872,1,0
24,60,1,3,1,1,0.657589527039818,1,1
1,80,0,4,1,1,1.15607572819499,1,1
2,20,0,4,1,1,1.21004166464991,1,1
3,20,0,4,2,2,0.598529359758686,1,1
4,90,0,4,2,2,0.600344114085601,1,1
5,80,0,4,2,2,0.60708746545788,1,1
6,80,0,4,2,2,0.615986581859033,1,1
7,60,0,4,2,1,1.09292812360218,0,0
8,40,0,4,1,2,1.73754156180803,1,0
9,60,0,4,2,1,0.762511484303104,1,0
10,60,0,4,1,1,0.750336139120918,1,1
11,20,0,4,1,1,0.774945925444626,1,1
12,80,0,4,2,1,0.598561476108443,1,0
13,90,0,4,1,2,0.686445167280908,1,0
14,20,0,4,2,1,0.744750780719187,1,0
15,10,0,4,2,1,1.97277579827278,1,0
16,60,0,4,2,2,0.576453517533082,1,1
17,80,0,4,1,1,0.532615057731164,1,1
18,10,0,4,2,2,0.492485856171697,1,1
19,20,0,4,1,1,0.689989152611815,1,1
20,20,0,4,2,2,0.852468664907065,1,1
21,40,0,4,2,2,1.18880842559884,1,1
22,20,0,4,1,1,0.624337194269174,1,1
23,10,0,4,1,2,2.31275769764034,1,0
24,90,0,4,1,2,0.671825009903841,1,0
25,80,0,4,2,2,0.523874357946625,1,1
26,20,0,4,1,1,0.618209105599817,1,1
27,10,0,4,1,2,1.83543617253963,1,0
28,40,0,4,1,1,0.733077388860693,1,1
29,20,0,4,1,1,1.32294363327674,1,1
30,90,0,4,1,1,0.579333885205415,1,1
31,40,0,4,1,1,0.606724442419363,1,1
32,20,0,4,2,1,0.695798242912133,1,0
33,10,0,4,1,2,2.05512970315249,1,0
34,10,0,4,1,1,2.62542698509787,1,1
35,20,0,4,2,1,0.618313393530116,1,0
36,40,0,4,1,1,0.668056570968474,1,1
37,40,0,4,2,2,0.534523635109508,1,1
38,10,0,4,2,1,2.08903410612038,0,0
39,10,0,4,2,2,2.93349641704117,1,1
40,20,0,4,2,2,1.06790695929158,1,1
41,40,0,4,2,1,1.5336817536554,0,0
42,60,0,4,1,1,1.20913338534592,1,1
43,20,0,4,1,2,1.80964421577301,0,0
44,80,0,4,2,2,0.576542649432668,1,1
45,80,0,4,2,1,1.31382367184415,1,0
46,90,0,4,1,1,0.568031094400794,1,1
47,80,0,4,1,1,1.11377127527885,1,1
48,20,0,4,2,2,0.503514394982631,1,1
49,90,0,4,1,1,0.61815497691714,1,1
50,80,0,4,2,1,0.436343946646957,1,0
51,90,0,4,2,2,1.39725148980142,1,1
52,20,0,4,1,2,0.81425814474278,1,0
53,80,0,4,1,1,0.626669418808888,1,1
54,40,0,4,2,1,0.629019686239189,1,0
55,20,0,4,1,1,0.58822361930288,1,1
56,60,0,4,2,2,0.556045199613436,1,1
57,90,0,4,1,2,0.528617474039493,1,0
58,20,0,4,1,1,0.746577082492877,1,1
59,60,0,4,1,1,0.544176222785609,1,1
60,90,0,4,2,1,0.528095312671212,1,0
61,10,0,4,2,1,0.55583518032654,1,0
62,90,0,4,1,1,0.498430989897315,1,1
63,40,0,4,1,1,0.601864769228996,1,1
64,60,0,4,1,2,0.495785901570343,1,0
65,40,0,4,2,2,0.630059678678663,1,1
66,60,0,4,2,1,1.4712858160492,1,0
67,10,0,4,2,2,1.16310812673692,1,1
68,60,0,4,1,1,0.812444112132653,1,1
69,80,0,4,2,1,0.804303879875079,1,0
70,10,0,4,1,2,1.10731155820395,1,0
71,10,0,4,1,1,1.51598925220969,1,1
72,10,0,4,1,1,0.824830920035311,1,1
73,60,0,4,1,2,0.809826809865626,0,0
74,10,0,4,2,1,0.97059766005259,1,0
75,90,0,4,2,1,1.21519218930189,1,0
76,60,0,4,2,1,0.54423576433328,1,0
77,80,0,4,1,2,0.548066631687107,1,0
78,90,0,4,2,2,0.546372403900023,1,1
79,10,0,4,1,2,1.07367238578445,1,0
80,40,0,4,1,2,0.6778350980494,1,0
81,40,0,4,1,1,0.551665467413841,1,1
82,40,0,4,1,2,1.37279795494396,1,0
83,80,0,4,2,1,0.741570540139946,1,0
84,90,0,4,2,1,0.578243372663565,1,0
85,80,0,4,2,1,0.496359665612545,1,0
86,40,0,4,1,1,0.607877383376035,1,1
87,40,0,4,2,2,0.594361451137956,1,1
88,90,0,4,1,1,0.6151230489304,1,1
89,40,0,4,1,2,0.87549717195725,1,0
90,40,0,4,1,2,0.594988983011717,1,0
91,80,0,4,1,2,0.587332300317939,1,0
92,60,0,4,2,1,0.714930928192189,1,0
93,10,0,4,2,1,0.598302380145469,1,0
94,80,0,4,1,1,0.556890689651482,1,1
95,10,0,4,2,1,0.790814651121764,1,0
96,40,0,4,2,1,0.649368101752771,1,0
97,90,0,4,2,2,0.548576523884549,1,1
98,60,0,4,2,1,0.571072043832828,1,0
99,40,0,4,2,1,0.757493033637729,1,0
100,40,0,4,1,1,0.889394170124433,1,1
101,10,0,4,2,2,1.00668886183485,1,1
102,10,0,4,1,1,1.35555147385094,1,1
103,90,0,4,2,2,0.668322884092049,1,1
104,60,0,4,1,1,0.580570906047797,1,1
105,90,0,4,2,1,0.524547357908887,1,0
106,20,0,4,1,2,1.01160446799986,1,0
107,60,0,4,2,2,0.52660821731115,1,1
108,60,0,4,1,1,0.464322341358638,1,1
109,10,0,4,1,1,2.26513961230739,1,1
110,60,0,4,1,1,0.701377105877327,1,1
111,90,0,4,1,2,1.06531924736555,0,0
112,20,0,4,1,1,3.20676579673454,1,1
113,20,0,4,2,1,0.903485670693044,1,0
114,10,0,4,1,1,1.82015600608429,0,1
115,80,0,4,1,2,2.21905950330256,1,0
116,20,0,4,1,2,2.79813609682969,0,0
117,40,0,4,2,1,1.14426232347978,1,0
118,10,0,4,2,2,2.15052753814962,1,1
119,40,0,4,1,2,2.8942733296426,1,0
120,20,0,4,2,2,2.31847729518267,1,1
121,90,0,4,2,2,0.829696006097947,1,1
122,20,0,4,2,2,0.912437472346937,1,1
123,80,0,4,1,1,0.630178040068131,1,1
124,60,0,4,2,1,0.817230531174573,1,0
125,90,0,4,1,1,1.47228394896956,1,1
126,20,0,4,1,2,1.4138191972088,0,0
127,40,0,4,2,1,1.09009863689789,1,0
128,90,0,4,2,2,0.605727031215793,1,1
129,90,0,4,2,1,0.915681945632969,1,0
130,60,0,4,2,2,0.647868015505082,1,1
131,60,0,4,1,1,0.642153830831376,1,1
132,80,0,4,1,1,0.630915272733546,1,1
133,10,0,4,2,2,1.84925233853937,1,1
134,10,0,4,2,2,2.02541594284412,1,1
135,80,0,4,1,1,0.687780702330201,1,1
136,10,0,4,1,2,2.28458191365644,1,0
137,40,0,4,2,2,0.698722274384636,1,1
138,40,0,4,1,1,0.944071357484063,1,1
139,90,0,4,2,2,0.516226335843385,1,1
140,80,0,4,1,2,0.794070310996176,1,0
141,60,0,4,1,2,1.13652120003826,1,0
142,60,0,4,1,2,0.598462240188383,1,0
143,20,0,4,2,1,0.969367495508777,1,0
144,90,0,4,2,2,1.15105114294784,1,1
145,10,0,4,2,2,1.7788872153069,1,1
146,60,0,4,1,1,1.25364520596486,1,1
147,80,0,4,1,1,0.707527206879604,1,1
148,20,0,4,2,1,0.796486976276356,1,0
149,10,0,4,1,1,1.6306987579992,0,1
150,60,0,4,1,2,0.734858222545881,1,0
151,80,0,4,1,2,0.562366708116315,1,0
152,90,0,4,2,1,0.510876617634494,1,0
153,10,0,4,1,2,1.19858081809434,1,0
154,90,0,4,1,2,0.692572895099147,1,0
155,10,0,4,2,2,0.902411035902333,1,1
156,40,0,4,2,2,0.574242541249987,1,1
157,90,0,4,1,1,0.621100659867807,1,1
158,60,0,4,2,1,1.24666477095889,1,0
159,20,0,4,2,1,1.0912299263764,1,0
160,20,0,4,1,2,0.623855809844827,1,0
161,80,0,4,1,2,0.626816648829845,1,0
162,40,0,4,2,2,0.64373330581293,1,1
163,60,0,4,1,2,0.776709077093983,1,0
164,90,0,4,2,1,0.477884824267676,1,0
165,20,0,4,2,1,0.616601844558318,1,0
166,10,0,4,2,2,1.3724937517436,1,1
167,80,0,4,2,1,0.856810867884633,1,0
168,60,0,4,1,1,1.22266880390816,1,1
169,10,0,4,2,1,0.939558468719042,1,0
170,60,0,4,1,2,0.680663502182142,1,0
171,90,0,4,2,2,0.563811583106144,1,1
172,80,0,4,1,2,0.57587253633028,1,0
173,60,0,4,2,1,0.563851999188046,1,0
174,60,0,4,2,2,0.565238054339716,1,1
175,10,0,4,2,1,1.35837410426029,1,0
176,60,0,4,1,2,0.559284981743986,1,0
177,40,0,4,2,1,0.514601753628085,1,0
178,80,0,4,2,1,0.538271144287137,1,0
179,80,0,4,1,1,0.514602836199629,1,1
180,60,0,4,1,2,1.45295279184938,1,0
181,80,0,4,2,2,0.520506110409769,1,1
182,10,0,4,1,2,0.850928162577475,1,0
183,20,0,4,2,2,0.767022568776156,1,1
184,60,0,4,2,1,0.576178182964213,1,0
185,40,0,4,1,1,0.550271112530027,1,1
186,90,0,4,1,1,0.634152889713732,1,1
187,60,0,4,1,2,0.974780363845639,1,0
188,60,0,4,2,2,0.502794483494654,1,1
189,80,0,4,2,2,0.590947013792174,1,1
190,40,0,4,2,1,0.743092638713279,1,0
191,10,0,4,2,1,2.48593159433585,1,0
192,20,0,4,1,2,2.62866532379485,1,0
193,40,0,4,1,2,1.23354433897111,1,0
194,10,0,4,2,1,0.659547902800114,1,0
195,40,0,4,1,1,0.61864357849845,1,1
196,80,0,4,1,1,0.630317331208062,1,1
197,60,0,4,1,1,0.577159355565527,1,1
198,10,0,4,2,2,1.8275669445502,1,1
199,20,0,4,2,2,0.738271938174876,1,1
