Trial,Coherence,Practice,Block,Target_Direction,Distractor_Direction,RT,Acc,Congruency
1,90,1,3,1,1,0.978540495314519,1,1
2,80,1,3,1,1,1.14510425728804,1,1
3,10,1,3,1,1,1.55238810424635,1,1
4,40,1,3,2,2,0.648069608068909,1,1
5,20,1,3,2,2,1.49338637465553,1,1
6,90,1,3,2,1,0.778917447591084,1,0
7,80,1,3,1,2,0.537958113767672,1,0
8,80,1,3,2,2,0.651611068678903,1,1
9,60,1,3,1,2,0.676222307301941,1,0
10,60,1,3,2,2,0.707480189797934,1,1
11,10,1,3,2,1,0.966055529555888,1,0
12,60,1,3,1,1,0.598663454060443,1,1
13,40,1,3,1,1,0.815743730170652,1,1
14,90,1,3,1,2,0.594853154238081,1,0
15,40,1,3,1,2,0.793403371062595,1,0
16,80,1,3,2,1,0.642117976763984,1,0
17,20,1,3,1,1,0.57588573503017,1,1
18,20,1,3,1,2,1.02354562490655,1,0
19,90,1,3,2,2,1.39865609255503,1,1
20,40,1,3,2,1,0.863160113061895,1,0
21,10,1,3,2,2,0.765584104636218,0,1
22,60,1,3,2,1,0.64168097768561,1,0
23,10,1,3,1,2,0.707862338444102,1,0
24,20,1,3,2,1,1.03104281111155,1,0
1,80,0,4,2,1,0.603657729065162,1,0
2,10,0,4,1,1,1.08628223498818,1,1
3,40,0,4,2,1,0.531951992903487,1,0
4,60,0,4,2,2,0.533599670612602,1,1
5,20,0,4,1,2,1.19316801946843,1,0
6,10,0,4,2,2,1.90586621621333,0,1
7,40,0,4,2,1,1.13764820889628,1,0
8,90,0,4,2,2,0.578620317101013,1,1
9,10,0,4,2,2,0.699154112720862,0,1
10,60,0,4,2,2,0.654745481428108,1,1
11,80,0,4,2,1,0.635966430098051,1,0
12,20,0,4,1,2,1.0105680879642,1,0
13,10,0,4,2,1,0.667696314878413,1,0
14,10,0,4,2,1,0.969248040448292,0,0
15,80,0,4,2,1,0.5639139093837,1,0
16,10,0,4,1,2,0.911293881697929,1,0
17,10,0,4,1,2,0.555613453223486,0,0
18,60,0,4,1,2,0.594452962701325,1,0
19,80,0,4,2,2,0.575406154719531,1,1
20,90,0,4,1,2,0.530570989256375,1,0
21,40,0,4,1,1,0.643233749753563,0,1
22,40,0,4,2,2,0.686596253639436,1,1
23,80,0,4,1,1,0.541367500336492,1,1
24,10,0,4,2,1,0.744465610769112,1,0
25,90,0,4,2,2,0.583032528098556,1,1
26,90,0,4,1,1,0.496680647513131,1,1
27,10,0,4,2,2,1.32819351227954,0,1
28,10,0,4,1,1,1.13907179377566,1,1
29,10,0,4,2,1,0.846734577746247,0,0
30,90,0,4,1,2,0.558280554847443,1,0
31,60,0,4,1,2,0.638062654339592,1,0
32,20,0,4,1,1,0.747016155248275,1,1
33,40,0,4,2,2,0.591784417643794,1,1
34,90,0,4,1,1,0.526043664547615,1,1
35,10,0,4,2,2,1.09477466761018,0,1
36,10,0,4,1,1,1.22036877524806,1,1
37,40,0,4,2,1,0.52181946055498,1,0
38,80,0,4,1,2,0.992841659463011,1,0
39,80,0,4,1,1,0.594903313496616,1,1
40,20,0,4,2,1,0.662338655878557,1,0
41,10,0,4,1,2,1.04412499688624,0,0
42,10,0,4,2,2,1.09389381318761,0,1
43,80,0,4,2,2,0.59926969553635,1,1
44,40,0,4,2,2,0.572226273856359,1,1
45,10,0,4,2,1,0.767799772875151,0,0
46,20,0,4,2,1,0.861652809122461,0,0
47,10,0,4,1,1,1.30386915577401,0,1
48,80,0,4,1,1,0.608665716645191,1,1
49,90,0,4,1,1,0.616886784046073,1,1
50,90,0,4,2,2,0.585402282711584,1,1
51,90,0,4,2,1,0.517707483435515,1,0
52,80,0,4,2,1,0.622357752479729,1,0
53,10,0,4,1,2,3.10235773804015,0,0
54,60,0,4,1,1,0.820419728392153,1,1
55,80,0,4,1,2,0.954840062317089,1,0
56,90,0,4,1,2,0.507975503511261,1,0
