Trial,Coherence,Practice,Block,Target_Direction,Distractor_Direction,RT,Acc,Congruency
1,80,1,3,2,2,3.29796552591142,1,1
2,20,1,3,2,1,3.49686036612547,0,0
3,60,1,3,2,2,0.752788249636069,1,1
4,60,1,3,1,1,0.687079850016744,1,1
5,10,1,3,2,1,1.21986097634363,1,0
6,80,1,3,1,2,0.688171802437864,1,0
7,80,1,3,2,1,0.64624855160946,1,0
8,90,1,3,2,1,0.745741078804713,1,0
9,10,1,3,1,2,0.855179899692303,1,0
10,40,1,3,2,2,0.703649307892192,1,1
11,20,1,3,1,2,0.726701195846545,1,0
12,40,1,3,1,1,0.740124704869231,1,1
13,10,1,3,2,2,0.808602318924386,1,1
14,90,1,3,1,2,0.506963632506086,1,0
15,60,1,3,1,2,0.680195064720465,1,0
16,40,1,3,2,1,0.972715984476963,1,0
17,80,1,3,1,1,0.468346190056764,1,1
18,20,1,3,2,2,0.809426876541693,1,1
19,60,1,3,2,1,0.736023568271776,1,0
20,10,1,3,1,1,0.623330180649646,1,1
21,90,1,3,2,2,0.492297332937596,1,1
22,90,1,3,1,1,0.433115027044551,1,1
23,40,1,3,1,2,0.599668083988945,1,0
24,20,1,3,1,1,0.513025303633185,1,1
1,40,0,4,1,2,0.739018679028959,1,0
2,90,0,4,1,1,0.513870069204131,1,1
3,20,0,4,1,1,0.650123791900114,1,1
4,10,0,4,1,2,0.724105553483241,1,0
5,60,0,4,1,2,0.57797229559219,1,0
6,10,0,4,2,1,2.04072628910944,0,0
7,90,0,4,1,1,0.520159440930001,1,1
8,90,0,4,2,1,0.551890293776523,1,0
9,40,0,4,2,2,0.937180258406443,1,1
10,20,0,4,1,1,0.58931149620912,1,1
11,80,0,4,2,1,0.598378742928617,1,0
12,60,0,4,1,2,0.466429319174495,1,0
13,20,0,4,1,2,0.608947153625195,1,0
14,20,0,4,2,1,0.974457478994736,1,0
15,20,0,4,2,2,0.994968574785162,1,1
16,20,0,4,1,2,0.564454963823664,1,0
17,90,0,4,2,1,0.581083241340821,1,0
18,40,0,4,1,2,0.517576789410668,1,0
19,40,0,4,2,2,0.544046712180716,1,1
20,20,0,4,1,1,0.748806195755606,1,1
21,40,0,4,1,1,0.675397474653437,1,1
22,80,0,4,1,1,0.664659822185058,1,1
23,10,0,4,2,2,0.715095322113484,1,1
24,90,0,4,2,2,0.570751913532149,1,1
25,40,0,4,2,1,0.815842187250382,0,0
26,10,0,4,1,1,0.897908582730452,1,1
27,10,0,4,1,2,1.99850497061561,1,0
28,20,0,4,1,2,1.0863324435777,1,0
29,40,0,4,2,1,0.905118499926175,1,0
30,40,0,4,2,2,1.18705549219158,1,1
31,20,0,4,1,1,1.09152625431307,1,1
32,60,0,4,2,2,0.773884294176241,1,1
33,60,0,4,1,1,0.833331829766394,1,1
34,20,0,4,2,2,0.809755977854365,1,1
35,10,0,4,2,1,1.06104865683301,0,0
36,60,0,4,1,1,0.721103947304073,1,1
37,60,0,4,1,1,0.717128749703988,1,1
38,90,0,4,1,1,0.55829802651715,1,1
39,60,0,4,2,1,0.655513547826558,1,0
40,40,0,4,1,2,0.535894958942663,1,0
41,40,0,4,1,1,0.65678556774219,1,1
42,90,0,4,1,1,0.597460723452969,1,1
43,60,0,4,1,1,0.631637463142397,1,1
44,80,0,4,1,2,0.624413833371364,1,0
45,10,0,4,2,1,1.51998370370711,1,0
46,90,0,4,1,1,0.505125789233716,1,1
47,10,0,4,2,2,0.953305140807061,1,1
48,80,0,4,2,1,0.681389861289063,1,0
49,60,0,4,1,2,0.619450610072818,1,0
50,90,0,4,1,1,0.459762852173299,1,1
51,90,0,4,2,2,0.55311071118922,1,1
52,90,0,4,1,1,0.510885062452871,1,1
53,90,0,4,1,2,0.507942275915411,1,0
54,80,0,4,1,2,0.670343676334596,1,0
55,80,0,4,2,2,0.544931171985809,1,1
56,80,0,4,1,1,0.473468190291896,1,1
57,80,0,4,1,2,0.516710372423404,1,0
58,10,0,4,1,1,0.821177814679686,1,1
59,90,0,4,2,2,0.576295394421322,1,1
60,10,0,4,2,2,1.66531946825853,0,1
61,20,0,4,1,1,0.712288217706373,1,1
62,80,0,4,1,2,0.486684206713107,1,0
63,80,0,4,2,2,0.564354284797446,1,1
64,60,0,4,2,2,0.551477834553225,1,1
65,80,0,4,1,1,0.548760583478725,1,1
66,10,0,4,2,2,1.58111391417333,1,1
67,80,0,4,2,2,0.574448168888921,1,1
68,90,0,4,2,1,0.635067045368487,1,0
69,40,0,4,2,1,0.730933323415229,1,0
70,80,0,4,1,1,0.479948816078831,1,1
71,40,0,4,1,2,0.637453029979952,1,0
72,10,0,4,2,2,4.36900197497744,1,1
73,20,0,4,2,2,0.952814014817704,1,1
74,20,0,4,2,1,1.54723885070416,1,0
75,40,0,4,1,1,0.611372110768571,1,1
76,10,0,4,2,2,2.38002975625568,0,1
77,90,0,4,1,2,0.631561683214386,1,0
78,60,0,4,2,2,0.697055373108014,0,1
79,20,0,4,1,2,0.773858673361246,1,0
80,20,0,4,2,2,1.59236434403283,1,1
81,90,0,4,2,1,0.550969387448276,0,0
82,40,0,4,1,1,0.669837755209301,1,1
83,80,0,4,2,2,0.640163424788625,1,1
84,40,0,4,2,1,1.12693062853941,1,0
85,40,0,4,2,2,1.0297721225943,1,1
86,80,0,4,1,1,0.652161188932951,1,1
87,60,0,4,2,2,0.599637050312595,0,1
88,80,0,4,1,2,0.601017688110005,1,0
89,10,0,4,2,2,0.938910566357663,1,1
90,10,0,4,2,1,0.855693398814765,0,0
91,40,0,4,2,2,0.648128975968575,1,1
92,20,0,4,2,2,2.30731135403039,1,1
93,60,0,4,2,1,0.732102860041778,1,0
94,90,0,4,2,2,0.615093986925785,1,1
95,20,0,4,2,1,2.94290885877854,0,0
96,90,0,4,2,1,0.585774378676433,1,0
97,80,0,4,2,1,0.576944575659581,1,0
98,40,0,4,1,2,0.639881956551108,1,0
99,90,0,4,2,2,0.509308118591434,1,1
100,60,0,4,1,2,0.495735214892193,1,0
101,10,0,4,2,2,2.84027363042696,1,1
102,10,0,4,1,1,2.77927116325009,1,1
103,10,0,4,1,2,2.11259451288788,1,0
104,60,0,4,1,1,0.581735670290072,1,1
105,60,0,4,1,2,0.559894817488384,1,0
106,20,0,4,1,1,2.64114567678189,1,1
107,40,0,4,2,2,0.75667828504811,1,1
108,40,0,4,2,1,0.664979541223147,1,0
109,10,0,4,2,1,3.05125753152242,1,0
110,40,0,4,1,2,0.778243804175872,1,0
111,80,0,4,2,2,0.547112190004555,1,1
112,80,0,4,1,2,0.481702940596733,1,0
113,80,0,4,1,2,0.567823200413841,1,0
114,20,0,4,1,2,1.24093933889526,0,0
