Trial,Coherence,Practice,Block,Target_Direction,Distractor_Direction,RT,Acc,Congruency
1,90,1,3,2,1,0.831729801160691,1,0
2,10,1,3,1,1,1.34759708340243,1,1
3,40,1,3,2,1,0.719468716146366,1,0
4,90,1,3,1,2,0.609685281400743,1,0
5,80,1,3,1,2,0.713122308450693,1,0
6,60,1,3,2,2,0.576725243525289,1,1
7,40,1,3,1,2,0.566891505188323,1,0
8,20,1,3,1,2,0.681520900528994,1,0
9,90,1,3,2,2,0.650955154747862,1,1
10,10,1,3,1,2,0.703483072516974,1,0
11,20,1,3,2,2,0.801340514886761,1,1
12,60,1,3,2,1,0.82228939792185,0,0
13,20,1,3,1,1,0.935879522541654,1,1
14,90,1,3,1,1,1.13000302398905,1,1
15,40,1,3,2,2,0.590778493158723,1,1
16,60,1,3,1,2,0.73938987591464,1,0
17,20,1,3,2,1,0.67657101286386,0,0
18,80,1,3,2,2,0.732632090226616,1,1
19,80,1,3,2,1,0.574264192720875,1,0
20,60,1,3,1,1,0.985394276938678,1,1
21,40,1,3,1,1,0.812592063870397,1,1
22,10,1,3,2,2,0.689617829844792,0,1
23,10,1,3,2,1,0.834830653002427,1,0
24,80,1,3,1,1,0.799128816885059,1,1
1,10,0,4,1,2,0.995274565941145,0,0
2,80,0,4,2,1,1.21834969583324,1,0
3,20,0,4,1,2,0.835187541453706,1,0
4,10,0,4,2,2,1.36359247019391,1,1
5,60,0,4,1,2,0.597874763547225,1,0
6,90,0,4,1,1,0.769704464606548,0,1
7,80,0,4,1,2,0.653510750316855,1,0
8,20,0,4,2,1,1.63180009627649,0,0
9,20,0,4,1,1,0.707979000957494,1,1
10,60,0,4,1,1,1.22414723867951,1,1
11,10,0,4,2,1,1.53585231385659,0,0
12,90,0,4,2,1,0.674069545975726,1,0
13,20,0,4,2,2,1.63873686747866,1,1
14,40,0,4,1,1,0.765434794062458,1,1
15,20,0,4,2,1,1.30925232410482,1,0
16,60,0,4,1,1,0.744785783930638,1,1
17,10,0,4,1,2,1.2066153189935,1,0
18,40,0,4,2,2,0.800996256461076,1,1
19,90,0,4,1,2,0.566960789903533,1,0
20,40,0,4,2,2,0.719115797130144,1,1
21,40,0,4,1,1,0.631914849085661,1,1
22,90,0,4,2,2,0.672784170175873,1,1
23,40,0,4,1,2,0.732103794276554,1,0
24,80,0,4,1,1,1.0527115944351,1,1
25,20,0,4,2,2,1.14451781086245,1,1
26,90,0,4,2,1,0.629415547344252,1,0
27,60,0,4,1,2,0.634803877346712,1,0
28,10,0,4,2,2,1.15725284662767,0,1
29,80,0,4,1,1,0.734334617747663,1,1
30,10,0,4,1,1,1.57376837398078,1,1
31,80,0,4,2,1,0.615648818877162,1,0
32,60,0,4,2,1,0.614743787289626,1,0
33,90,0,4,1,1,0.624033712787423,1,1
34,20,0,4,2,2,0.754940324930431,1,1
35,10,0,4,1,2,0.878976202864578,1,0
36,40,0,4,1,1,1.3271317499366,1,1
37,40,0,4,1,2,1.07226143143635,1,0
38,60,0,4,2,2,0.58802370403464,1,1
39,60,0,4,1,2,0.62188588663048,1,0
40,10,0,4,2,2,0.920869277786551,0,1
41,80,0,4,1,2,0.680636437840803,1,0
42,40,0,4,1,1,0.833326597319683,1,1
43,60,0,4,2,1,0.612949601865694,1,0
44,60,0,4,2,1,0.650176062563332,1,0
45,80,0,4,2,1,0.627659612857315,1,0
46,60,0,4,1,1,0.617430013417106,1,1
47,20,0,4,2,2,0.580089882481843,1,1
48,40,0,4,2,2,1.1523606962237,1,1
49,90,0,4,1,2,0.624108410369445,1,0
50,60,0,4,2,2,0.629058658894792,1,1
51,80,0,4,1,2,0.692322459723073,1,0
52,40,0,4,1,2,1.46756284520598,1,0
53,40,0,4,2,2,0.761034132105124,1,1
54,90,0,4,2,2,0.664910251032779,1,1
55,20,0,4,1,2,0.763736957693254,1,0
56,40,0,4,1,2,0.843735543130606,1,0
57,90,0,4,1,1,0.750495277452501,1,1
58,20,0,4,1,2,1.07924367073429,1,0
59,60,0,4,2,2,0.758758923113419,1,1
60,60,0,4,2,2,0.553218599770844,1,1
61,20,0,4,1,1,0.661009016395838,1,1
62,20,0,4,2,2,1.22443772928091,1,1
63,60,0,4,1,1,0.640459963900867,1,1
64,80,0,4,1,2,0.653572457016708,1,0
65,60,0,4,1,1,0.751920305256135,1,1
66,90,0,4,2,1,0.561358110317087,1,0
67,20,0,4,1,1,0.99910435071979,1,1
68,90,0,4,2,1,0.546098512761091,1,0
69,20,0,4,2,2,0.826734084543205,1,1
70,80,0,4,2,2,0.702422511179975,1,1
71,20,0,4,2,1,0.977124135835766,1,0
72,40,0,4,1,2,0.951119994630062,1,0
73,40,0,4,2,1,0.633336629169207,1,0
74,60,0,4,2,1,0.637377154953356,1,0
75,80,0,4,2,2,0.598675146346068,1,1
76,90,0,4,1,1,0.600007433673454,1,1
77,90,0,4,1,1,0.734538141596204,1,1
78,20,0,4,2,1,1.04473771766061,1,0
79,90,0,4,2,2,0.660170382659999,1,1
80,90,0,4,1,2,0.783014707845723,1,0
81,90,0,4,2,1,0.601225689904823,1,0
82,10,0,4,1,1,0.622569712331824,1,1
83,90,0,4,1,2,0.70643128147276,1,0
84,40,0,4,2,1,0.704787934644628,1,0
85,10,0,4,1,2,0.976123476908469,1,0
86,10,0,4,1,2,0.864918983796088,0,0
87,60,0,4,1,2,0.95119000106024,1,0
88,90,0,4,1,2,0.570229440661933,1,0
89,60,0,4,2,1,0.544871235078972,1,0
90,80,0,4,2,2,0.55990565731372,1,1
91,80,0,4,2,2,0.937298415761688,0,1
92,20,0,4,2,2,1.30698974514053,0,1
93,10,0,4,2,1,1.01218256233551,0,0
94,20,0,4,1,2,0.984460376721472,1,0
95,80,0,4,2,2,0.609867153778396,1,1
96,40,0,4,1,1,0.592653510750097,1,1
97,40,0,4,2,1,0.648562666941871,1,0
98,40,0,4,1,2,0.624392044672277,1,0
99,10,0,4,2,2,0.52845833570791,1,1
100,90,0,4,2,2,0.656247135690137,1,1
101,10,0,4,2,1,0.966329072081862,0,0
102,90,0,4,1,2,0.769603424396337,1,0
103,10,0,4,1,1,1.16137961744789,1,1
104,80,0,4,1,1,0.705686831644925,1,1
105,20,0,4,1,1,2.09050821059827,1,1
106,10,0,4,2,2,1.2459199602763,1,1
107,80,0,4,1,2,0.870869891245093,1,0
108,40,0,4,2,1,0.793854157118403,1,0
109,90,0,4,1,1,0.705456243455046,1,1
110,10,0,4,1,1,1.71256478301257,1,1
111,40,0,4,2,1,0.765768226752698,1,0
112,40,0,4,1,2,0.631699056068101,1,0
113,20,0,4,1,1,0.746535583835794,0,1
114,40,0,4,2,2,0.807912097905501,0,1
115,90,0,4,2,1,0.726467554906776,1,0
116,80,0,4,2,1,0.667458990305022,1,0
117,10,0,4,1,2,1.01134032002301,1,0
118,20,0,4,1,2,1.04650664303335,1,0
119,40,0,4,1,1,0.987203257536748,1,1
120,40,0,4,1,2,1.91507678695052,1,0
121,90,0,4,2,2,0.607090352319574,1,1
122,60,0,4,1,1,0.695048019359092,1,1
123,20,0,4,2,1,1.270769356237,0,0
124,20,0,4,1,2,1.43223557957754,0,0
125,10,0,4,2,1,1.06107519773104,0,0
126,80,0,4,1,2,0.614014493496143,1,0
127,40,0,4,1,1,0.915267319915074,1,1
128,20,0,4,2,1,1.01720823015785,1,0
129,90,0,4,2,2,0.663792313293015,1,1
130,10,0,4,1,2,1.18200769782197,1,0
131,20,0,4,1,1,2.0661697894102,0,1
132,80,0,4,2,1,0.616554933036241,1,0
133,90,0,4,1,1,0.644852326126056,1,1
134,10,0,4,1,2,1.54467925868266,1,0
135,20,0,4,2,1,1.65544639203472,0,0
136,80,0,4,1,1,0.734711714241712,1,1
137,20,0,4,1,2,2.19557884131427,1,0
138,40,0,4,1,1,0.902564400503252,1,1
139,60,0,4,2,2,0.632164201886553,1,1
140,60,0,4,2,1,0.714532180223614,1,0
141,20,0,4,1,2,1.50617355676695,0,0
142,20,0,4,1,1,2.29340885848433,1,1
143,40,0,4,2,2,1.4112026166531,1,1
144,20,0,4,1,2,0.816811214308473,1,0
145,10,0,4,2,1,0.618124664853895,1,0
146,40,0,4,2,1,0.937243926220617,1,0
147,10,0,4,1,1,0.668967015422822,1,1
148,10,0,4,2,2,0.655365199008884,1,1
149,60,0,4,1,1,0.68822455753434,1,1
150,60,0,4,1,1,1.14299462971394,1,1
151,90,0,4,2,2,0.637977983338715,1,1
152,60,0,4,1,1,0.545813795884897,1,1
153,80,0,4,2,1,0.524784441538941,1,0
154,60,0,4,1,1,0.495276731089689,1,1
155,80,0,4,1,2,0.494570532200669,0,0
156,80,0,4,1,1,0.714485629556293,1,1
157,60,0,4,1,2,0.565181038795345,0,0
158,20,0,4,2,2,0.553624925754775,1,1
159,80,0,4,2,2,0.631057089884052,1,1
160,20,0,4,2,2,0.719680900587264,1,1
161,90,0,4,2,1,0.599489963460655,1,0
162,80,0,4,2,2,0.614352978194802,1,1
163,10,0,4,1,1,1.49469971932558,1,1
164,60,0,4,1,1,0.618406134006364,1,1
165,90,0,4,1,1,0.63423336102278,1,1
166,80,0,4,2,1,0.57317945390605,1,0
167,20,0,4,1,1,0.990350299187412,1,1
168,10,0,4,1,2,0.793015523384383,0,0
