Trial,Coherence,Practice,Block,Target_Direction,Distractor_Direction,RT,Acc,Congruency
1,40,1,3,1,1,1.3066709680952,1,1
2,10,1,3,2,1,2.722256142888,1,0
3,90,1,3,2,2,0.634472345996983,1,1
4,80,1,3,1,2,0.984069195272241,1,0
5,40,1,3,2,2,0.685126365307042,1,1
6,60,1,3,1,1,0.715256577361288,1,1
7,10,1,3,1,1,6.7079953896764,1,1
8,60,1,3,2,2,0.689831955576665,1,1
9,20,1,3,2,2,1.5080312589771,1,1
10,80,1,3,2,2,0.733960937826851,1,1
11,90,1,3,2,1,0.615898977039251,1,0
12,40,1,3,2,1,0.907878688150959,1,0
13,20,1,3,1,2,0.801154890421458,1,0
14,10,1,3,1,2,4.49129357542552,0,0
15,10,1,3,2,2,3.02749739099545,0,1
16,60,1,3,2,1,0.753952118453526,1,0
17,20,1,3,2,1,0.657123772901286,1,0
18,40,1,3,1,2,0.70698534771509,1,0
19,90,1,3,1,1,0.615846291749222,1,1
20,60,1,3,1,2,0.603456948901112,1,0
21,20,1,3,1,1,0.633137531701323,1,1
22,90,1,3,1,2,0.597060016484647,1,0
23,80,1,3,1,1,0.554087584603622,1,1
24,80,1,3,2,1,0.594032055751086,1,0
1,90,0,4,2,1,0.60748376499123,1,0
2,40,0,4,1,1,1.00590977391585,1,1
3,40,0,4,1,2,0.831130655188645,1,0
4,10,0,4,1,1,2.54325678810255,1,1
5,40,0,4,2,2,0.591629101333638,1,1
6,90,0,4,2,1,0.568279774766779,1,0
7,40,0,4,1,1,0.592110486105412,1,1
8,20,0,4,2,2,1.6677081032858,1,1
9,20,0,4,1,1,1.23131332158391,1,1
10,10,0,4,2,1,1.44076766075796,1,0
11,80,0,4,1,2,0.660112400096295,1,0
12,10,0,4,1,2,1.83407994884419,1,0
13,40,0,4,2,2,0.560252846088588,1,1
14,10,0,4,1,2,1.27849949407755,1,0
15,40,0,4,1,1,0.885418516064419,1,1
16,40,0,4,2,2,0.932994776218038,1,1
17,20,0,4,2,2,0.759856118638709,1,1
18,90,0,4,1,1,0.528169308870929,1,1
19,60,0,4,2,1,0.57822430365195,1,0
20,90,0,4,2,1,0.582857000576041,1,0
21,60,0,4,2,2,0.583442673352693,1,1
22,20,0,4,2,1,1.56755336731203,1,0
23,60,0,4,2,2,0.64823078466452,1,1
24,40,0,4,2,2,0.83508818651535,1,1
25,80,0,4,1,2,0.56111132762635,1,0
26,80,0,4,1,1,0.648834139489736,1,1
27,20,0,4,1,2,1.54224025069561,0,0
28,20,0,4,2,2,0.749099658916748,1,1
29,90,0,4,1,2,0.585889652465085,1,0
30,40,0,4,1,2,0.611758490631473,1,0
31,40,0,4,1,1,0.601697043705826,1,1
32,80,0,4,2,1,0.559169549923354,1,0
33,90,0,4,2,2,0.599345692003226,1,1
34,60,0,4,2,2,0.507478063433155,1,1
35,80,0,4,2,2,0.494380356036345,1,1
36,40,0,4,1,2,0.569375700966702,1,0
37,40,0,4,1,2,0.51707111648102,1,0
38,20,0,4,2,2,0.809929878044386,1,1
39,60,0,4,1,2,0.577507278508165,1,0
40,20,0,4,1,2,1.98623290073647,1,0
41,40,0,4,2,2,0.608776358883006,1,1
42,20,0,4,2,1,1.26132950246301,1,0
43,40,0,4,1,2,0.697354765420641,1,0
44,90,0,4,2,2,0.545000454681031,1,1
45,20,0,4,1,1,0.583810026948413,1,1
46,80,0,4,1,1,0.666714299942214,1,1
47,90,0,4,2,2,0.538134045811603,1,1
48,60,0,4,1,2,0.646890918354984,1,0
49,90,0,4,2,1,1.03776597049909,1,0
50,60,0,4,1,1,0.510514323903408,1,1
51,40,0,4,1,1,0.667983798912246,1,1
52,90,0,4,1,2,0.582613060467338,1,0
53,90,0,4,2,2,0.540124900222509,1,1
54,80,0,4,1,2,0.61599532616583,1,0
55,80,0,4,1,1,0.515563090273645,1,1
56,90,0,4,2,2,0.543627389421999,1,1
57,10,0,4,1,1,0.582114715362877,1,1
58,20,0,4,2,1,0.545682476584261,1,0
59,40,0,4,2,2,0.925566511209581,1,1
60,40,0,4,2,2,0.656936126663823,1,1
61,90,0,4,1,2,0.551901505933529,1,0
62,80,0,4,2,1,0.542469395620174,1,0
63,60,0,4,1,1,0.592512482083293,1,1
64,20,0,4,2,1,1.12795741296395,1,0
65,10,0,4,1,2,1.45104057056051,1,0
66,40,0,4,2,1,0.631923965744136,1,0
67,90,0,4,2,2,0.589457456989294,1,1
68,20,0,4,1,1,0.813805855428654,1,1
69,20,0,4,1,1,0.891694561001714,1,1
70,20,0,4,2,2,0.78484229777132,1,1
71,60,0,4,1,1,0.622564387919738,1,1
72,10,0,4,2,1,1.51668752426758,0,0
73,40,0,4,2,1,0.620903718715454,1,0
74,10,0,4,2,1,1.04232324806981,1,0
75,90,0,4,2,1,0.512448884443074,1,0
76,10,0,4,2,2,0.896488922377102,1,1
77,90,0,4,1,1,0.61298288233229,1,1
78,10,0,4,2,2,1.43153582671857,1,1
79,90,0,4,2,1,0.562545377912102,1,0
80,10,0,4,1,2,0.802919486773135,1,0
81,10,0,4,1,1,1.29504123165225,1,1
82,90,0,4,1,2,0.643341878454521,1,0
83,10,0,4,2,1,1.10018396548458,1,0
84,40,0,4,2,1,1.18389223043505,1,0
85,60,0,4,1,1,0.661451544689953,1,1
86,40,0,4,2,1,0.958558689247184,1,0
87,40,0,4,1,2,0.730034440302006,1,0
88,60,0,4,2,1,0.667025720525999,1,0
89,60,0,4,2,2,0.557636624504084,1,1
90,90,0,4,1,2,0.556224225706501,1,0
91,80,0,4,2,1,0.5748773443147,1,0
