Trial,Coherence,Practice,Block,Target_Direction,Distractor_Direction,RT,Acc,Congruency
1,90,1,3,2,2,1.4257228699862,1,1
2,80,1,3,1,1,1.48230318102287,1,1
3,10,1,3,2,2,1.73795818095095,1,1
4,20,1,3,1,1,1.32915736857103,0,1
5,60,1,3,2,2,1.36851611017482,1,1
6,90,1,3,1,1,0.633094036660623,1,1
7,80,1,3,2,1,0.996168774552643,1,0
8,10,1,3,1,1,2.37760286603589,0,1
9,60,1,3,2,1,0.706895195355173,1,0
10,20,1,3,2,2,0.873884228232782,1,1
11,80,1,3,2,2,0.61587174545275,1,1
12,10,1,3,2,1,2.06148184021004,1,0
13,20,1,3,2,1,2.25994234939571,1,0
14,90,1,3,1,2,0.674758658395149,1,0
15,10,1,3,1,2,1.81706105999183,0,0
16,90,1,3,2,1,0.735929800197482,1,0
17,60,1,3,1,2,0.734912542568054,1,0
18,60,1,3,1,1,0.750893483462278,1,1
19,20,1,3,1,2,1.85080269171158,0,0
20,40,1,3,2,2,1.03139497456141,1,1
21,40,1,3,2,1,1.82868320163107,1,0
22,40,1,3,1,1,1.30616712901974,1,1
23,80,1,3,1,2,0.683575131988619,1,0
24,40,1,3,1,2,0.991600317007396,1,0
1,40,0,4,2,1,1.51426794979488,1,0
2,90,0,4,1,2,0.647881982265972,1,0
3,40,0,4,2,1,1.15159448550548,1,0
4,60,0,4,1,1,0.59698806569213,1,1
5,40,0,4,1,2,1.18110722670099,1,0
6,90,0,4,1,1,0.710354376642499,1,1
7,90,0,4,1,2,0.701793029380497,1,0
8,80,0,4,2,2,0.680466343532316,1,1
9,60,0,4,2,2,0.74409312143689,1,1
10,20,0,4,2,1,3.87255446781637,0,0
11,90,0,4,1,1,0.631941818166524,1,1
12,80,0,4,1,2,0.666443055262789,1,0
13,80,0,4,1,1,0.483860642532818,1,1
14,90,0,4,1,1,0.474729501118418,1,1
15,80,0,4,1,2,0.679580798954703,1,0
16,10,0,4,1,2,3.93861486960668,0,0
17,80,0,4,2,2,0.645723692781758,1,1
18,20,0,4,1,1,3.55007476970786,1,1
19,20,0,4,1,1,1.17278332373826,0,1
20,90,0,4,1,1,0.678777168970555,1,1
21,10,0,4,1,1,4.45569570467342,1,1
22,80,0,4,2,1,0.80377572553698,1,0
23,20,0,4,1,1,1.3948168575298,1,1
24,20,0,4,2,1,2.35572154208785,1,0
25,10,0,4,1,1,1.50194971374003,1,1
26,40,0,4,1,1,1.90134260687046,1,1
27,80,0,4,1,2,4.68376025196631,1,0
